English Word	Valence	Arousal	Dominance	Hebrew Word
malt	0.750	0.373	0.324	לֶתֶת
mama	0.860	0.413	0.728	אִמָא
mambo	0.808	0.622	0.445	ממבו
mamma	0.600	0.358	0.449	אִמָא
mammal	0.618	0.449	0.421	יונק
mammoth	0.480	0.471	0.537	מַמוּתָה
mammy	0.680	0.415	0.436	מאמי
manage	0.560	0.530	0.719	לנהל
manageable	0.750	0.361	0.655	ניתן לניהול
management	0.792	0.491	0.806	הַנהָלָה
manager	0.625	0.549	0.897	מנהל
managerial	0.604	0.520	0.791	מִנהָלִי
mandamus	0.439	0.577	0.556	מנדמוס
mandarin	0.625	0.398	0.491	מַנדָרִין
mandate	0.448	0.670	0.779	מַנדָט
mandatory	0.271	0.667	0.777	חובה
mandible	0.510	0.431	0.500	הלסת התחתונה
mandolin	0.708	0.433	0.367	מנדולינה
mandrel	0.310	0.490	0.481	מנדרל
mane	0.521	0.277	0.373	רַעמָה
maneuver	0.615	0.663	0.608	לְתַמְרֵן
maneuvering	0.635	0.640	0.745	תמרון
mange	0.311	0.558	0.348	שְׁחִין בְּהֵמוֹת
manger	0.656	0.276	0.398	אֵבוּס
mangle	0.292	0.449	0.355	לְהַשְׁחִית
mango	0.765	0.327	0.290	מנגו
mangosteen	0.562	0.500	0.414	מנגוסטן
mangy	0.214	0.698	0.270	מָאוּס
manhole	0.378	0.500	0.516	כַּוִית
manhood	0.625	0.735	0.858	גַברִיוּת
manhunt	0.145	0.925	0.657	ציד אדם
mania	0.290	0.683	0.382	מַניָה
maniac	0.120	0.849	0.431	מְטוּרָף
maniacal	0.200	0.848	0.500	מטורף
manic	0.054	0.892	0.368	שִׁגָעוֹנִי
manicure	0.706	0.308	0.284	מָנִיקוּר
manicurist	0.583	0.352	0.341	מניקוריסטית
manifest	0.667	0.647	0.704	לְהַפְגִין
manifestation	0.583	0.750	0.655	תוֹפָעָה
manifested	0.580	0.618	0.667	באה לידי ביטוי
manifestly	0.469	0.588	0.577	באופן ברור
manifesto	0.646	0.519	0.676	מָנִיפֶסט
manifold	0.500	0.461	0.435	סעפת
manipulate	0.255	0.700	0.772	לְתַפְעֵל
manipulation	0.188	0.775	0.536	מָנִיפּוּלָצִיָה
manipulative	0.177	0.724	0.546	מניפולטיבי
mankind	0.823	0.471	0.768	אָדָם
manly	0.698	0.633	0.846	גַברִי
manna	0.698	0.294	0.544	המן
manned	0.551	0.588	0.484	מאויש
mannequin	0.427	0.302	0.295	בובת ראווה
manner	0.618	0.250	0.320	דֶרֶך
mannered	0.469	0.556	0.291	מנומס
manners	0.816	0.284	0.517	נימוסים
manor	0.646	0.358	0.738	אֲחוּזָה
manpower	0.531	0.620	0.543	כּוֹחַ אָדָם
mansion	0.847	0.490	0.717	אחוזה
mansions	0.735	0.529	0.777	אחוזות
manslaughter	0.090	0.920	0.473	הריגה
mantel	0.500	0.265	0.471	מדף
mantis	0.480	0.355	0.421	גְמָל שְׁלֹמֹה
mantle	0.510	0.269	0.422	מַעֲטֶה
mantra	0.396	0.249	0.357	מנטרה
manual	0.635	0.245	0.449	מדריך ל
manufacture	0.868	0.703	0.780	יִצוּר
manufacturer	0.688	0.537	0.830	יַצרָן
manufacturing	0.653	0.613	0.804	ייצור
manure	0.250	0.471	0.241	דשן
manuscript	0.510	0.208	0.540	כְּתַב יָד
map	0.561	0.229	0.463	מַפָּה
maple	0.541	0.390	0.339	אֶדֶר
mar	0.622	0.544	0.545	לְקַלְקֵל
marathon	0.646	0.778	0.740	מָרָתוֹן
marble	0.604	0.212	0.667	שַׁיִשׁ
marbled	0.396	0.385	0.418	משויש
marbles	0.714	0.345	0.241	גוּלוֹת
march	0.531	0.200	0.483	מרץ
mare	0.541	0.320	0.417	סוּסָה
margarine	0.530	0.316	0.333	מרגרינה
margarita	0.750	0.438	0.420	מרגריטה
margin	0.500	0.219	0.331	שולים
marginal	0.235	0.644	0.345	שׁוּלִי
mariachi	0.710	0.559	0.609	מריאצ'י
marijuana	0.312	0.779	0.558	מַרִיחוּאַנָה
marinara	0.657	0.388	0.435	מרינרה
marine	0.633	0.471	0.679	ימי
mariner	0.652	0.491	0.676	סַפָּן
marital	0.760	0.529	0.500	זוגיות
maritime	0.646	0.490	0.713	יַמִי
mark	0.491	0.231	0.600	סימן
marked	0.592	0.358	0.554	מסומן
marker	0.500	0.333	0.605	סַמָן
market	0.724	0.480	0.521	שׁוּק
marketable	0.746	0.545	0.664	סחיר
marketing	0.521	0.774	0.675	שיווק
marketplace	0.698	0.420	0.525	זירת מסחר
marks	0.430	0.480	0.424	סימנים
marksman	0.500	0.833	0.692	צַלָף
marksmanship	0.573	0.531	0.664	קליעה
marl	0.372	0.471	0.351	חוואר
marmalade	0.729	0.370	0.288	מַרמֵלָדָה
maroon	0.469	0.358	0.336	חוּם עֲרמוֹנִי
marooned	0.229	0.480	0.160	מבולבל
marquee	0.602	0.284	0.508	אוֹהֶל גָדוֹל
marquis	0.521	0.444	0.562	מַרקִיז
marred	0.181	0.561	0.233	פגום
marriage	0.844	0.684	0.750	נישואים
married	0.674	0.570	0.602	נָשׂוּי
marrow	0.398	0.422	0.472	מוֹחַ
marry	0.896	0.765	0.673	לְהִתְחַתֵן
marsh	0.302	0.358	0.277	בִּצָה
marshal	0.469	0.610	0.819	מַרשַׁל
marshmallow	0.740	0.441	0.391	מרשמלו
mart	0.531	0.402	0.418	מארט
martial	0.480	0.710	0.737	צְבָאִי
martingale	0.469	0.510	0.455	מרטינגל
martini	0.828	0.500	0.519	מַרטִינִי
martyr	0.281	0.708	0.509	קָדוֹשׁ מְעוּנֶה
martyrdom	0.323	0.745	0.442	מָוֶת הַקְדוֹשִׁים
marvel	0.961	0.755	0.866	פֶּלֶא
marvellous	0.878	0.809	0.849	נִפלָא
marvelous	0.948	0.637	0.778	נִפלָא
marvelously	0.968	0.708	0.764	בצורה מופלאה
marzipan	0.684	0.380	0.258	מרציפן
mascara	0.575	0.450	0.269	מַסקָרָה
mascot	0.750	0.337	0.337	קָמִיעַ
masculine	0.653	0.540	0.773	גַברִי
masculinity	0.583	0.670	0.851	גַברִיוּת
mash	0.440	0.363	0.283	לִכתוֹשׁ
mashed	0.531	0.337	0.194	מְרוּסָק
mask	0.510	0.490	0.537	מסכה
masked	0.375	0.549	0.518	מוּסוֶה
masks	0.510	0.472	0.241	מסכות
masochism	0.194	0.845	0.483	מָזוֹכִיזם
masochist	0.164	0.784	0.353	מָזוֹכִיסט
mason	0.541	0.442	0.580	בַּנַאִי
masquerade	0.431	0.633	0.446	נֶשֶׁף מַסֵכוֹת
mass	0.458	0.245	0.277	מסה
massacre	0.031	0.887	0.640	טֶבַח
massage	0.708	0.356	0.413	לְעַסוֹת
masses	0.552	0.453	0.473	המונים
masseur	0.622	0.265	0.463	מְעַסֶה
masseuse	0.594	0.373	0.391	מעסה
massive	0.569	0.660	0.750	מַסִיבִי
mast	0.542	0.390	0.580	תוֹרֶן
master	0.694	0.490	0.849	לִשְׁלוֹט
masterful	0.854	0.510	0.960	שְׁתַלְטָנִי
mastermind	0.792	0.625	0.918	מוֹחַ
masterpiece	0.926	0.623	0.847	יצירת מופת
mastery	0.755	0.648	0.873	שליטה
masturbate	0.552	0.926	0.500	לְאוֹנֵן
masturbation	0.542	0.961	0.509	אוֹנָנוּת
mat	0.459	0.221	0.304	מַחצֶלֶת
matador	0.224	0.880	0.667	מטאדור
match	0.599	0.573	0.500	התאמה
matchbook	0.562	0.391	0.412	ספר גפרורים
matching	0.719	0.735	0.418	תוֹאֵם
matchmaker	0.615	0.509	0.519	שַׁדְכָנִית
mate	0.847	0.417	0.669	בן זוג
material	0.521	0.363	0.439	חוֹמֶר
materialism	0.220	0.390	0.556	חוֹמְרָנוּת
materialist	0.255	0.491	0.504	חוֹמְרָנִי
materialistic	0.420	0.506	0.589	חוֹמְרָנִי
materiality	0.417	0.450	0.636	חומריות
materialize	0.688	0.596	0.728	לְהִתְגַשֵׁם
materially	0.490	0.451	0.670	מבחינה חומרית
materials	0.633	0.361	0.473	חומרים
materiel	0.531	0.294	0.417	חומר
maternal	0.847	0.417	0.634	אִמָהִי
maternity	0.865	0.480	0.622	אִמָהוּת
math	0.417	0.375	0.600	מתמטיקה
mathematical	0.620	0.500	0.548	מָתֵימָטִי
mathematician	0.541	0.418	0.773	מתמטיקאי
mathematics	0.438	0.435	0.664	מָתֵימָטִיקָה
matinee	0.694	0.578	0.447	הַצָגָה יְוֹמִית
mating	0.755	0.840	0.759	הזדווגות
matriculation	0.622	0.490	0.675	בַּגרוּת
matrimony	0.850	0.637	0.843	נִשׂוּאִים
matrix	0.551	0.378	0.673	מַטרִיצָה
matron	0.520	0.519	0.555	אֵם הַבַּיִת
matted	0.281	0.519	0.393	דהוי
matter	0.487	0.353	0.562	חוֹמֶר
matting	0.479	0.405	0.423	מחצלת
mattress	0.612	0.255	0.397	מִזרָן
maturation	0.612	0.439	0.698	הַבשָׁלָה
mature	0.625	0.347	0.600	בּוֹגֵר
maturity	0.827	0.400	0.806	בַּגרוּת
maudlin	0.337	0.417	0.368	רַגְשָׁנִי
mausoleum	0.344	0.281	0.594	מַאוּזוֹלֵאוֹן
mauve	0.533	0.330	0.314	סְגַלגַל
maverick	0.354	0.676	0.409	עַצמָאִי
maxim	0.875	0.562	0.887	פִּתגָם
maximize	0.823	0.765	0.792	לְהַגדִיל
maximum	0.724	0.724	0.852	מַקסִימוּם
may	0.704	0.273	0.245	מאי
mayday	0.344	0.643	0.423	Mayday
mayflower	0.690	0.463	0.429	מייפלואר
mayhem	0.188	0.870	0.364	מהומה
mayonnaise	0.510	0.320	0.222	מיונז
mayor	0.469	0.481	0.818	ראש העיר
maze	0.438	0.608	0.444	מבוך
mead	0.667	0.337	0.441	תֶמֶד
meadow	0.622	0.130	0.382	אָחוּ
meager	0.144	0.389	0.281	דַל
meal	0.833	0.461	0.473	ארוחה
mean	0.440	0.467	0.620	מתכוון
meander	0.480	0.443	0.454	לְשׁוֹטֵט
meandering	0.427	0.644	0.539	מתפתל
meanie	0.388	0.420	0.404	רשע
meaning	0.663	0.395	0.625	מַשְׁמָעוּת
meaningful	0.770	0.500	0.802	בעל משמעות
meaningless	0.156	0.314	0.143	חֲסַר מַשְׁמָעוּת
meanness	0.102	0.694	0.368	קַמצָנוּת
means	0.615	0.373	0.460	אומר
meantime	0.432	0.222	0.300	בינתיים
measles	0.092	0.635	0.422	חַצֶבֶת
measurable	0.604	0.410	0.602	מָדִיד
measure	0.510	0.375	0.365	מידה
measured	0.542	0.265	0.578	נמדד
measurement	0.622	0.418	0.491	מדידה
measuring	0.448	0.337	0.529	מדידה
measuring cup	0.557	0.343	0.377	כוס מדידה
measuring tape	0.337	0.280	0.327	סרט מדידה
meat	0.612	0.421	0.413	בָּשָׂר
meatball	0.612	0.279	0.343	כַּדוּר בָּשָׂר
meathead	0.306	0.534	0.490	ראש בשר
meatloaf	0.625	0.389	0.375	קציץ בשר
mechanic	0.571	0.433	0.566	מְכוֹנַאִי
mechanical	0.479	0.569	0.564	מֵכָנִי
mechanics	0.542	0.500	0.761	מֵכָנִיקָה
mechanism	0.573	0.583	0.664	מַנגָנוֹן
med	0.375	0.429	0.606	med
medal	0.854	0.555	0.746	מֵדַלִיָה
medallion	0.750	0.510	0.710	מֵדַלִיוֹן
medallist	0.796	0.821	0.897	מדליסט
meddle	0.302	0.770	0.526	לְהִתְעַרֵב
meddling	0.245	0.600	0.461	התערבות
media	0.500	0.330	0.464	כְּלֵי תִקְשׁוֹרֶת
medial	0.458	0.340	0.429	מדיאלי
median	0.459	0.216	0.375	חֲצִיוֹן
mediate	0.635	0.308	0.654	לפשר
mediation	0.661	0.350	0.657	גישור
mediator	0.592	0.438	0.580	מתווך
medic	0.500	0.472	0.585	חובש
medical	0.583	0.373	0.616	רְפוּאִי
medicate	0.417	0.375	0.546	לְטַפֵּל בִּתְרוּפוֹת
medication	0.615	0.439	0.500	תרופות
medicinal	0.667	0.417	0.614	תְרוּפָתִי
medicine	0.708	0.318	0.679	רפואה
medieval	0.560	0.408	0.455	ימי הביניים
mediocre	0.188	0.481	0.149	בֵּינוֹנִי
mediocrity	0.073	0.398	0.225	בֵּינוֹנִיוּת
meditate	0.812	0.146	0.564	לְהַרהֵר
meditating	0.718	0.185	0.399	מדיטציה
meditation	0.786	0.120	0.478	מֶדִיטָצִיָה
meditative	0.614	0.120	0.454	מְהוּרהָר
mediterranean	0.663	0.454	0.545	יָם תִיכוֹנִי
medium	0.559	0.356	0.358	בינוני
medley	0.487	0.352	0.400	מַחְרוֹזֶת
meek	0.531	0.150	0.198	צָנוּעַ
meet	0.760	0.510	0.580	לִפְגוֹשׁ
meeting	0.750	0.569	0.613	פְּגִישָׁה
mega	0.724	0.538	0.723	מגה
meh	0.380	0.286	0.365	אה
melancholic	0.181	0.306	0.277	בַּעַל מָרָה שְׁחוֹרָה
melancholy	0.188	0.260	0.237	עֶצֶב
melee	0.541	0.704	0.611	תִגרָה
mellow	0.633	0.069	0.265	רַך
melodious	0.932	0.530	0.587	מלודי
melodrama	0.378	0.830	0.446	מֵלוֹדרָמָה
melodramatic	0.235	0.692	0.368	מלודרמטי
melody	0.847	0.434	0.405	מַנגִינָה
melon	0.461	0.231	0.271	מֵלוֹן
melt	0.448	0.615	0.312	להמיס
meltdown	0.629	0.657	0.602	התמוטטות
melting	0.592	0.470	0.538	הַתָכָה
member	0.698	0.333	0.555	חבר
membership	0.698	0.411	0.778	חֲבֵרוּת
membrane	0.406	0.430	0.418	קְרוּם
memento	0.708	0.360	0.536	מַזכֶּרֶת
memo	0.625	0.235	0.407	תַזכִּיר
memoir	0.750	0.242	0.553	ספר זיכרונות
memorabilia	0.780	0.412	0.491	מזכרות
memorable	0.939	0.510	0.769	בלתי נשכח
memorandum	0.600	0.500	0.639	תַזכִּיר
memorial	0.602	0.304	0.600	זִכָּרוֹן
memorials	0.771	0.333	0.679	אנדרטאות
memories	0.963	0.487	0.510	זיכרונות
memoriesiwontforget	0.635	0.542	0.455	זיכרונות לא לשכוח
memorize	0.520	0.451	0.716	לְשַׁנֵן
memory	0.792	0.378	0.573	זיכרון
menace	0.125	0.894	0.759	אִיוּם
menacing	0.042	0.880	0.643	מאיים
menagerie	0.573	0.480	0.538	בִּיבָר
mend	0.542	0.436	0.602	לְתַקֵן
mending	0.500	0.633	0.657	אִחוּי
menial	0.490	0.420	0.352	בָּזוּי
meningitis	0.104	0.612	0.407	דַלֶקֶת קְרוֹם הַמוֹחַ
meniscus	0.323	0.330	0.453	סַהֲרוֹן
menopause	0.204	0.460	0.306	הַפסָקַת וֶסֶת
menses	0.163	0.686	0.331	וֶסֶת
menstrual	0.408	0.519	0.435	שֶׁל וֶסֶת
mental	0.490	0.490	0.585	נַפשִׁי
mentalhealth	0.562	0.541	0.670	בריאות נפשית
mentality	0.711	0.415	0.726	מֶנטָלִיוּת
menthol	0.490	0.292	0.433	מֶנתוֹל
mention	0.562	0.365	0.562	אִזְכּוּר
mentor	0.719	0.455	0.777	מנטור
menu	0.633	0.333	0.385	תַפרִיט
meow	0.510	0.510	0.412	מיאו
mercantile	0.480	0.490	0.713	מִסְחָרִי
mercenary	0.245	0.837	0.673	שְׂכִיר חֶרֶב
merchandise	0.594	0.460	0.621	סְחוֹרָה
merchant	0.675	0.500	0.620	סוֹחֵר
merciful	0.854	0.346	0.500	רַחוּם
merciless	0.062	0.880	0.634	חֲסַר רַחֲמִים
mercurial	0.490	0.546	0.518	כַּספִּיתִי
mercury	0.337	0.312	0.475	כַּספִּית
mercy	0.719	0.229	0.500	רַחֲמִים
mere	0.396	0.221	0.176	סְתָם
merengue	0.688	0.519	0.442	מרנגה
merge	0.760	0.480	0.733	לְמַזֵג
merger	0.592	0.490	0.642	מיזוג
meridian	0.510	0.324	0.558	מֵרִידִיאַן
meridional	0.365	0.290	0.600	meridional
meringue	0.625	0.580	0.411	מִקצֶפֶת
merit	0.854	0.500	0.722	לִזכּוֹת
meritorious	0.781	0.618	0.855	רָאוּי לְשֶׁבַח
mermaid	0.765	0.623	0.452	בתולת ים
merriment	0.948	0.721	0.632	עֲלִיצוּת
merry	0.979	0.731	0.764	עליז
merrychristmas	0.888	0.510	0.536	חג מולד שמח
mesa	0.604	0.191	0.319	mesa
mescaline	0.490	0.580	0.415	מסקלין
mesh	0.429	0.235	0.371	רֶשֶׁת
meshes	0.440	0.363	0.362	רשתות
mesmerized	0.520	0.552	0.421	מהופנט
mess	0.143	0.843	0.273	אי סדר
message	0.650	0.391	0.415	הוֹדָעָה
messedup	0.333	0.615	0.358	פישל
messenger	0.694	0.434	0.500	שָׁלִיחַ
messiah	0.781	0.634	0.800	מָשִׁיחַ
messy	0.260	0.635	0.140	מבולגן
metabolic	0.408	0.531	0.559	מטבולי
metabolism	0.698	0.509	0.555	חילוף חומרים
metal	0.551	0.429	0.547	מַתֶכֶת
metallic	0.615	0.330	0.607	מַתַכתִי
metallurgy	0.396	0.509	0.587	מֵטַלוּרגִיָה
metamorphosis	0.541	0.571	0.613	גִלגוּל
metaphor	0.562	0.280	0.470	מֵטָפוֹרָה
metaphorical	0.500	0.412	0.480	מוּשׁאָל
metaphysical	0.630	0.573	0.686	מֵטָפִיסִי
metaphysics	0.561	0.396	0.588	מֵטָפִיסִיקָה
metastasis	0.177	0.646	0.452	גרורות
meteor	0.398	0.714	0.737	מֵטֵאוֹר
meteoric	0.590	0.802	0.684	מטאורית
meteorite	0.385	0.794	0.750	מטאוריט
meteorological	0.635	0.557	0.556	מטאורולוגי
meteorology	0.630	0.418	0.689	מֵטֵאוֹרוֹלוֹגִיָה
meter	0.438	0.300	0.463	מטר
meth	0.354	0.564	0.340	meth
methadone	0.240	0.540	0.453	מתדון
methane	0.290	0.460	0.569	מתאן
methanol	0.292	0.500	0.570	מתנול
method	0.640	0.275	0.698	שיטה
methodical	0.663	0.360	0.745	שִׁיטָתִי
methodology	0.664	0.327	0.745	מֵתוֹדוֹלוֹגִיָה
meticulous	0.555	0.480	0.555	קַפְּדָנִי
metime	0.531	0.398	0.417	זמן שלי
metric	0.519	0.248	0.573	מֶטרִי
metrical	0.521	0.375	0.482	מֶטרִי
metrology	0.531	0.432	0.439	מטרולוגיה
metropolis	0.656	0.625	0.779	מֶטרוֹפּוֹלִין
metropolitan	0.387	0.408	0.723	עִירוֹנִי
mettle	0.667	0.529	0.750	כושר
mew	0.418	0.481	0.380	מיילל
mezzanine	0.479	0.427	0.404	קוֹמַת בֵּינַיִם
mica	0.531	0.250	0.314	נָצִיץ
mick	0.449	0.451	0.382	מיק
micro	0.500	0.270	0.250	מיקרו
microbe	0.255	0.450	0.340	חַידַק
microbiology	0.571	0.378	0.560	מִיקרוֹבִּיוֹלוֹגִיָה
microchip	0.551	0.358	0.432	שבב
microcosm	0.500	0.500	0.520	מִיקרוֹקוֹסמוֹס
microfilm	0.469	0.352	0.412	מִיקרוֹפִילם
microgram	0.448	0.286	0.355	מיקרוגרם
micrometer	0.573	0.358	0.394	מִיקרוֹמֶטֶר
micron	0.375	0.291	0.315	מיקרון
microphone	0.551	0.431	0.462	מִיקרוֹפוֹן
microscope	0.531	0.330	0.464	מִיקרוֹסקוֹפּ
microscopic	0.360	0.327	0.433	מִיקרוֹסקוֹפִּי
microscopically	0.623	0.370	0.412	מיקרוסקופית
microscopy	0.500	0.339	0.455	מיקרוסקופיה
microwave	0.542	0.497	0.443	מיקרוגל
mid	0.500	0.315	0.356	בֵּינוֹנִי
midair	0.633	0.413	0.455	באוויר
midday	0.658	0.250	0.403	צָהֳרַיִים
middle	0.458	0.157	0.300	אֶמצַע
middleman	0.500	0.404	0.452	סַרְסוּר
middleweight	0.510	0.302	0.428	משקל בינוני
midget	0.396	0.295	0.254	גַמָד
midland	0.521	0.402	0.456	מידלנד
midlife	0.594	0.244	0.473	אמצע החיים
midline	0.332	0.224	0.330	קו אמצע
midnight	0.562	0.470	0.545	חצות
midshipman	0.469	0.615	0.785	צוֹעֵר
midst	0.324	0.275	0.296	אמצע
midsummer	0.781	0.480	0.492	אֶמצַע הַקַיִץ
midterm	0.427	0.337	0.425	אמצע טווח
midtown	0.479	0.442	0.538	מרכז העיר
midway	0.459	0.316	0.304	בְּחַצִי הַדֶרֶך
midwife	0.531	0.570	0.453	מְיַלֶדֶת
midwifery	0.510	0.570	0.459	מְיַלְדוּת
mien	0.500	0.352	0.447	הַבָּעַת פָּנִים
miffed	0.204	0.726	0.429	עצבני
mighty	0.855	0.837	0.936	אדיר
mignon	0.551	0.440	0.423	מיניון
migraine	0.135	0.783	0.318	מִיגרֶנָה
migrate	0.415	0.580	0.454	להגר
migration	0.492	0.731	0.566	הֲגִירָה
migratory	0.448	0.521	0.491	נוֹדֵד
mike	0.542	0.365	0.423	מִיקרוֹפוֹן
mil	0.534	0.388	0.347	מִיל
mild	0.635	0.198	0.216	מָתוּן
mildew	0.344	0.250	0.241	טַחַב
mildness	0.827	0.226	0.311	מְתִינוּת
mile	0.521	0.417	0.456	מִיל
mileage	0.510	0.458	0.562	מִספָּר הַמַיִלִים
milestone	0.719	0.373	0.558	אבן דרך
militant	0.418	0.667	0.750	לוֹחְמָנִי
militants	0.260	0.673	0.652	חמושים
military	0.396	0.710	0.875	צבאי
militia	0.396	0.729	0.769	מִילִיצִיָה
milk	0.817	0.270	0.327	חלב
milkman	0.750	0.380	0.304	חַלְבָּן
milkshake	0.796	0.521	0.330	מילקשייק
milky	0.517	0.283	0.311	חֲלָבִי
mill	0.531	0.382	0.347	טחנה
millennium	0.573	0.398	0.760	אֶלֶף שָׁנָה
milligram	0.429	0.217	0.302	מִילִיגרָם
millimeter	0.427	0.177	0.360	מִילִימֶטֶר
million	0.776	0.647	0.812	מִילִיוֹן
millionaire	0.917	0.755	0.850	מִילִיוֹנֵר
millionth	0.635	0.528	0.611	המיליון
millstone	0.510	0.433	0.492	אבן ריחיים
mime	0.455	0.235	0.302	לְחַקוֹת
mimic	0.557	0.587	0.391	לְחַקוֹת
mimicking	0.316	0.433	0.364	חיקוי
mimicry	0.420	0.337	0.472	מִימִיקָה
mince	0.417	0.529	0.378	קציץ
mincemeat	0.396	0.435	0.358	בָּשָר טָחוּן
mind	0.650	0.388	0.627	אכפת
minded	0.656	0.394	0.627	אופקים
mindful	0.765	0.450	0.725	זָהִיר
mindfulness	0.729	0.635	0.745	מודעות
mindless	0.184	0.333	0.153	חסר דעת
mine	0.688	0.418	0.578	שלי
minefield	0.188	0.839	0.684	שדה מוקשים
miner	0.408	0.594	0.644	כּוֹרֶה
mineral	0.519	0.287	0.605	מִינֵרָלִי
mineralogy	0.551	0.408	0.545	מִינֵרָלוֹגִיָה
mingle	0.561	0.480	0.434	להתערבב
mingled	0.521	0.392	0.357	התערבבו
mini	0.421	0.324	0.221	מיני
miniature	0.429	0.292	0.204	מִינִיאָטוּרָה
minibus	0.439	0.390	0.428	מיניבוס
minim	0.518	0.208	0.138	מינימום
minimal	0.448	0.147	0.206	מִינִימָלִי
minimize	0.360	0.236	0.311	לְצַמְצֵם
minimized	0.458	0.137	0.208	ממוזער
minimum	0.380	0.198	0.194	מִינִימוּם
mining	0.633	0.598	0.554	כְּרִיָה
minion	0.490	0.430	0.167	מִתחַנֵף
minister	0.547	0.441	0.892	שר בממשלה
ministerial	0.571	0.519	0.660	שר
ministry	0.510	0.346	0.717	מִשׂרָד
minivan	0.592	0.356	0.452	מיני וואן
mink	0.560	0.515	0.430	חַרפָּן
minnow	0.541	0.367	0.364	דָגִיג
minor	0.250	0.235	0.175	קַטִין
minority	0.310	0.332	0.211	מיעוט
minstrel	0.458	0.541	0.397	זַמָר
mint	0.688	0.221	0.345	מנטה
minty	0.635	0.292	0.361	מנטה
minuscule	0.396	0.286	0.214	זָעִיר
minute	0.582	0.279	0.356	דַקָה
minutiae	0.323	0.257	0.316	פרטים
minx	0.448	0.519	0.404	מינימום
mir	0.417	0.339	0.355	מיר
miracle	0.917	0.607	0.806	נֵס
miracles	0.922	0.735	0.692	ניסים
miraculous	0.875	0.706	0.812	פִּלאִי
mirage	0.546	0.487	0.562	מִירָאז'
mire	0.344	0.376	0.298	בּוֹץ
mirror	0.677	0.310	0.438	מַרְאָה
mirth	0.888	0.640	0.608	עֲלִיצוּת
misappropriation	0.097	0.831	0.500	ניכוס פסולה
misbehave	0.020	0.847	0.304	להתנהג בצורה לא נכונה
misbehavior	0.031	0.704	0.269	הִתְנַהֲגוּת פְּסוּלָה
miscalculation	0.177	0.490	0.353	חֶשְׁבּוֹן מוּטְעֶה
miscarriage	0.042	0.781	0.312	הַפָּלָה
miscellaneous	0.531	0.321	0.196	שונות
miscellany	0.500	0.412	0.384	קוֹבֶץ מְעוּרָב
mischief	0.385	0.834	0.292	שׁוֹבְבוּת
mischievous	0.439	0.804	0.472	שׁוֹבָב
misconception	0.210	0.557	0.291	תפיסה שגויה
misconduct	0.061	0.667	0.304	הִתְנַהֲגוּת פְּסוּלָה
misdemeanor	0.210	0.640	0.364	עָווֹן
misdirection	0.131	0.710	0.281	כיוון שגוי
miser	0.208	0.633	0.311	קַמצָן
miserable	0.062	0.461	0.188	אוּמלָל
miserably	0.280	0.545	0.150	אומללות
misery	0.146	0.378	0.158	אומללות
misfire	0.153	0.453	0.200	לְהַחטִיא
misfit	0.173	0.500	0.393	אִי הַתְאָמָה
misfortune	0.094	0.780	0.311	צָרָה
misguided	0.280	0.531	0.259	מוטעה
mishap	0.071	0.654	0.227	תַקָלָה
misinformed	0.156	0.567	0.250	מידע מוטעה
misinterpretation	0.112	0.556	0.360	פֵּרוּשׁ מְסוּלָף
mislead	0.167	0.765	0.412	להוליך שולל
misleading	0.070	0.660	0.272	מַטעֶה
misled	0.177	0.606	0.353	מְרוּמֶה
mismanagement	0.094	0.520	0.295	נִהוּל כּוֹשֵׁל
mismatch	0.250	0.459	0.282	חוסר התאמה
mismatched	0.250	0.557	0.302	לא תואם
misnomer	0.296	0.528	0.284	שֵׁם מַטעֵה
misplace	0.229	0.461	0.191	לָשִׂים לֹא בְּמָקוֹם
misplaced	0.247	0.450	0.324	לא במקום
misread	0.115	0.558	0.315	קריאה לא נכונה
misrepresent	0.198	0.542	0.418	לְסַלֵף
misrepresentation	0.323	0.618	0.518	תֵאוּר מְסוּלָף
misrepresented	0.042	0.519	0.466	מצג שווא
miss	0.573	0.490	0.408	עלמה
missile	0.240	0.830	0.764	טִיל
missiles	0.070	0.922	0.830	טילים
missing	0.306	0.418	0.222	חָסֵר
missingyou	0.260	0.471	0.377	מתגעגע אליך
mission	0.765	0.633	0.870	משימה
missionary	0.729	0.404	0.596	מִיסִיוֹנֶרִי
misspell	0.292	0.423	0.281	לִשְׁגוֹת בִּכְתִיב
misstatement	0.302	0.547	0.221	הצהרה מוטעית
missy	0.521	0.480	0.333	גברת
mist	0.375	0.194	0.221	עֲרָפֶל
mistake	0.208	0.585	0.102	טעות
mistaken	0.131	0.630	0.212	טוֹעֶה
mister	0.604	0.406	0.663	מַר
mistletoe	0.542	0.470	0.324	דִבקוֹן
mistreated	0.010	0.792	0.200	התעללות
mistress	0.630	0.796	0.694	פִּילֶגֶשׁ
mistrial	0.427	0.539	0.536	משפט לא נכון
mistrust	0.135	0.657	0.231	חוֹסֶר אֵמוּן
misty	0.427	0.451	0.278	עַרְפִילִי
misunderstand	0.177	0.548	0.382	לא מבינים
misunderstanding	0.112	0.618	0.284	אי הבנה
misunderstood	0.177	0.625	0.309	לא מובן
misuse	0.083	0.560	0.196	שימוש לרעה
mite	0.290	0.584	0.271	שֶׁמֶץ
miter	0.458	0.500	0.414	מִצנֶפֶת
mitigate	0.506	0.427	0.456	להקל
mitigating	0.551	0.520	0.600	מקלה
mitigation	0.448	0.527	0.423	הֲקָלָה
